City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,mount gambier,-37.8333,140.7667,10.170000000000016,81,7,1.78,AU,1707158002
267,obock,12.25,43.0833,20.970000000000027,71,0,1.51,DJ,1707158002
268,pemangkat,1.1667,108.9667,26.160000000000025,87,73,2.32,ID,1707158002
269,severo-yeniseyskiy,60.3725,93.0408,-8.009999999999991,87,85,4.92,RU,1707158002
270,kingston,17.997,-76.7936,28.980000000000018,84,75,5.14,JM,1707158002
271,santa ana,33.7456,-117.8678,14.510000000000048,93,100,4.12,US,1707158003
272,arraial do cabo,-22.9661,-42.0278,31.980000000000018,70,0,6.17,BR,1707158003
273,buta,2.7858,24.73,28.480000000000018,35,89,1.87,CD,1707158003
274,choibalsan,48.0667,114.5,-24.93999999999997,96,62,2.79,MN,1707158004
275,papao,-17.75,-149.55,24.82000000000005,89,100,11.02,PF,1707158004
276,piacabucu,-10.4056,-36.4344,29.430000000000007,66,15,5.23,BR,1707158005
277,hopelchen,19.7667,-89.85,27.80000000000001,29,0,5.28,MX,1707158005
278,magadan,59.5667,150.8,-21.92999999999998,76,100,4.08,RU,1707158006
279,polasara,19.7,84.8167,21.100000000000023,91,0,0.98,IN,1707158006
280,phalaborwa,-23.943,31.1411,28.600000000000023,69,36,2.6,ZA,1707158006
281,kriva palanka,42.2019,22.3319,8.180000000000007,70,7,0.78,MK,1707158007
282,lihue,21.9789,-159.3672,22.420000000000016,69,100,11.32,US,1707158007
283,ganj dundwara,27.7333,78.95,12.560000000000002,93,10,2.57,IN,1707158007
284,baruun-urt,46.6806,113.2792,-22.21999999999997,93,82,0.9,MN,1707158008
285,saipan,15.1355,145.701,24.390000000000043,73,40,4.12,MP,1707158008
286,remire-montjoly,4.9167,-52.2667,31.02000000000004,70,40,6.17,GF,1707158008
287,mount isa,-20.7333,139.5,25.870000000000005,94,100,1.03,AU,1707158008
